method,lateness,otd_pct,dist_premium_pct,rsi,moved_stops,block_unchanged_pct,no_harm_pct
NR,47.148684527233264,94.96870109546165,0.0,1.0,0.0,100.0,100.0
FR,32.081081478122854,96.27282211789255,2.784055028514355,0.8389124163097109,9.113289760348584,24.128540305010894,99.50980392156863
RG,32.65624770479314,96.28760215614676,3.780759196030575,0.8553770844981631,8.5599128540305,25.70806100217865,99.56427015250546
SA,33.968180347857775,96.03894974786994,3.2496091782723884,0.9270191196372249,6.004357298474946,42.265795206971674,100.0
