delivery_date,trigger_fraction,vid,rep,resampled_multiplier,nr_lateness,sa_lateness
INSTANCE_001,0.25,V1,0,1.089583893562997,0.0,0.0
INSTANCE_001,0.25,V1,1,1.14509820157397,0.0,0.0
INSTANCE_001,0.25,V1,2,1.323706115578749,0.0,0.0
INSTANCE_001,0.25,V1,3,0.9739961677840204,0.0,0.0
INSTANCE_001,0.25,V1,4,1.0611621284754895,0.0,0.0
INSTANCE_001,0.25,V1,5,1.029972959035976,0.0,0.0
INSTANCE_001,0.25,V1,6,1.0677365243569064,0.0,0.0
INSTANCE_001,0.25,V1,7,1.0130717099772102,0.0,0.0
INSTANCE_001,0.25,V1,8,0.9339674447270956,0.0,0.0
INSTANCE_001,0.25,V1,9,1.0295773633380825,0.0,0.0
INSTANCE_001,0.25,V1,10,1.0426116213116785,0.0,0.0
INSTANCE_001,0.25,V1,11,1.2553471551593327,0.0,0.0
INSTANCE_001,0.25,V1,12,1.1382319817771245,0.0,0.0
INSTANCE_001,0.25,V1,13,1.0088685177384302,0.0,0.0
INSTANCE_001,0.25,V1,14,0.9888299083492366,0.0,0.0
INSTANCE_001,0.25,V1,15,0.8496078884780153,0.0,0.0
INSTANCE_001,0.25,V1,16,0.928746091878952,0.0,0.0
INSTANCE_001,0.25,V1,17,1.1964501706679431,0.0,0.0
INSTANCE_001,0.25,V1,18,1.19980210899308,0.0,0.0
INSTANCE_001,0.25,V1,19,1.0448622446704332,0.0,0.0
INSTANCE_001,0.25,V2,0,0.9685274049053448,0.0,0.0
INSTANCE_001,0.25,V2,1,0.9963868842848028,0.0,0.0
INSTANCE_001,0.25,V2,2,0.9768866057323032,0.0,0.0
INSTANCE_001,0.25,V2,3,0.9935758266675258,0.0,0.0
INSTANCE_001,0.25,V2,4,0.8844498874968189,0.0,0.0
INSTANCE_001,0.25,V2,5,1.373729796677665,12.454850904518594,12.454850904518594
INSTANCE_001,0.25,V2,6,1.1073152371507708,0.0,0.0
INSTANCE_001,0.25,V2,7,1.1376480387558012,0.0,0.0
INSTANCE_001,0.25,V2,8,0.99379310821491,0.0,0.0
INSTANCE_001,0.25,V2,9,0.9975290461370252,0.0,0.0
INSTANCE_001,0.25,V2,10,0.9976911335901408,0.0,0.0
INSTANCE_001,0.25,V2,11,0.880755796222279,0.0,0.0
INSTANCE_001,0.25,V2,12,1.0449803260265191,0.0,0.0
INSTANCE_001,0.25,V2,13,0.9775531054198174,0.0,0.0
INSTANCE_001,0.25,V2,14,1.06485658767624,0.0,0.0
INSTANCE_001,0.25,V2,15,0.8625399731521941,0.0,0.0
INSTANCE_001,0.25,V2,16,0.897817974533582,0.0,0.0
INSTANCE_001,0.25,V2,17,1.0661790585999142,0.0,0.0
INSTANCE_001,0.25,V2,18,0.8862593856799581,0.0,0.0
INSTANCE_001,0.25,V2,19,0.9949143416680848,0.0,0.0
INSTANCE_001,0.5,V1,0,0.9187929580656782,0.0,0.0
INSTANCE_001,0.5,V1,1,1.0693292467678963,0.0,0.0
INSTANCE_001,0.5,V1,2,1.1690890500818183,0.0,0.0
INSTANCE_001,0.5,V1,3,1.0456464605865234,0.0,0.0
INSTANCE_001,0.5,V1,4,0.9123202214256764,0.0,0.0
INSTANCE_001,0.5,V1,5,0.9405684112303276,0.0,0.0
INSTANCE_001,0.5,V1,6,1.1530051709364817,0.0,0.0
INSTANCE_001,0.5,V1,7,1.0237060342378992,0.0,0.0
INSTANCE_001,0.5,V1,8,0.947243660248802,0.0,0.0
INSTANCE_001,0.5,V1,9,1.4003561203525494,0.0,0.0
INSTANCE_001,0.5,V1,10,1.029972959035976,0.0,0.0
INSTANCE_001,0.5,V1,11,0.8840186588827298,0.0,0.0
INSTANCE_001,0.5,V1,12,0.982523803280152,0.0,0.0
INSTANCE_001,0.5,V1,13,1.085208594166825,0.0,0.0
INSTANCE_001,0.5,V1,14,0.9333414246843322,0.0,0.0
INSTANCE_001,0.5,V1,15,1.004120415445002,0.0,0.0
INSTANCE_001,0.5,V1,16,1.04745799835972,0.0,0.0
INSTANCE_001,0.5,V1,17,1.1555775955532903,0.0,0.0
INSTANCE_001,0.5,V1,18,1.08463797093738,0.0,0.0
INSTANCE_001,0.5,V1,19,0.9129208272330664,0.0,0.0
INSTANCE_001,0.5,V2,0,1.1648619678689915,0.0,0.0
INSTANCE_001,0.5,V2,1,0.9474481203169932,0.0,0.0
INSTANCE_001,0.5,V2,2,1.001301093002179,0.0,0.0
INSTANCE_001,0.5,V2,3,0.9128985993746358,0.0,0.0
INSTANCE_001,0.5,V2,4,1.2002083133375885,0.0,0.0
INSTANCE_001,0.5,V2,5,0.8939970884413038,0.0,0.0
INSTANCE_001,0.5,V2,6,1.068751206974634,0.0,0.0
INSTANCE_001,0.5,V2,7,0.948970926259148,0.0,0.0
INSTANCE_001,0.5,V2,8,1.0449803260265191,0.0,0.0
INSTANCE_001,0.5,V2,9,0.9918258124050138,0.0,0.0
INSTANCE_001,0.5,V2,10,0.9673241866044946,0.0,0.0
INSTANCE_001,0.5,V2,11,0.882293744426373,0.0,0.0
INSTANCE_001,0.5,V2,12,0.8631968353942979,0.0,0.0
INSTANCE_001,0.5,V2,13,0.9332125938313875,0.0,0.0
