delivery_date,trigger_fraction,shock,seed,total_distance_km,total_lateness_min,nr_distance,otd_num,otd_den,rsi,moved_stops,n_vehicles,n_unchanged,n_harm,runtime_ms,block_fully_unchanged,block_any_harm
INSTANCE_001,0.25,delay20,101,198.298,0.0,191.8982,40,40,0.4011904761904762,24,2,0,0,4248.742341995239,0,0
INSTANCE_001,0.25,delay20,202,198.298,0.0,191.8982,40,40,0.4011904761904762,24,2,0,0,4243.003129959106,0,0
INSTANCE_001,0.25,delay20,303,197.9415,0.0,191.8982,40,40,0.4083333333333333,24,2,0,0,4697.765588760376,0,0
INSTANCE_001,0.25,delay30,101,199.8331,0.0,191.8982,40,40,0.6547619047619048,14,2,1,0,4243.208408355713,0,0
INSTANCE_001,0.25,delay30,202,197.9415,0.0,191.8982,40,40,0.4083333333333333,24,2,0,0,3929.9468994140634,0,0
INSTANCE_001,0.25,delay30,303,197.9415,0.0,191.8982,40,40,0.4083333333333333,24,2,0,0,5093.418836593628,0,0
INSTANCE_001,0.25,p85,101,191.8982,0.4248373333333575,191.8982,39,40,1.0,0,2,2,0,4114.154577255249,1,0
INSTANCE_001,0.25,p85,202,191.7068,0.4248373333333575,191.8982,39,40,0.719047619047619,14,2,1,0,4032.617092132568,0,0
INSTANCE_001,0.25,p85,303,190.833,0.4248373333333575,191.8982,39,40,0.7892857142857144,10,2,1,0,4341.3639068603525,0,0
INSTANCE_001,0.25,p95,101,197.9525,0.0,191.8982,40,40,0.4261904761904762,24,2,0,0,4461.705684661865,0,0
INSTANCE_001,0.25,p95,202,201.5759,0.0,191.8982,40,40,0.4261904761904762,24,2,0,0,3869.271993637085,0,0
INSTANCE_001,0.25,p95,303,197.9525,0.0,191.8982,40,40,0.4261904761904762,24,2,0,0,4559.192419052124,0,0
INSTANCE_001,0.5,delay20,101,213.4468,0.0,191.8982,40,40,0.8388888888888889,9,2,1,0,1411.2517833709717,0,0
