delivery_date,trigger_fraction,vid,rep,resampled_multiplier,nr_lateness,liu_lateness
INSTANCE_001,0.25,V1,0,1.0668779414103144,0.0,0.0
INSTANCE_001,0.25,V1,1,0.877336123156705,0.0,0.0
INSTANCE_001,0.25,V1,2,0.9405684112303276,0.0,0.0
INSTANCE_001,0.25,V1,3,0.986076097550492,0.0,0.0
INSTANCE_001,0.25,V1,4,1.080696239419903,0.0,0.0
INSTANCE_001,0.25,V1,5,0.880755796222279,0.0,0.0
INSTANCE_001,0.25,V1,6,1.2788437374224868,0.0,0.0
INSTANCE_001,0.25,V1,7,1.3951223470865473,0.0,0.0
INSTANCE_001,0.25,V1,8,1.0281817017159132,0.0,0.0
INSTANCE_001,0.25,V1,9,0.9958628462390396,0.0,0.0
INSTANCE_001,0.25,V2,0,0.9452907471448646,0.0,0.0
INSTANCE_001,0.25,V2,1,0.948800957499302,0.0,0.0
INSTANCE_001,0.25,V2,2,0.9611497769027638,0.0,0.0
INSTANCE_001,0.25,V2,3,1.0227149055229203,0.0,0.0
INSTANCE_001,0.25,V2,4,1.08891748139568,0.0,0.0
INSTANCE_001,0.25,V2,5,1.0554903071202004,0.0,0.0
INSTANCE_001,0.25,V2,6,1.0257450539352442,0.0,0.0
INSTANCE_001,0.25,V2,7,0.8639865854724262,0.0,0.0
INSTANCE_001,0.25,V2,8,0.8603010851078271,0.0,0.0
INSTANCE_001,0.25,V2,9,1.0929159543995806,0.0,0.0
INSTANCE_001,0.5,V1,0,1.388857765375337,0.0,0.0
INSTANCE_001,0.5,V1,1,1.0222535276119855,0.0,0.0
INSTANCE_001,0.5,V1,2,0.897854161550149,0.0,0.0
INSTANCE_001,0.5,V1,3,1.160928784209669,0.0,0.0
INSTANCE_001,0.5,V1,4,0.9012738346157227,0.0,0.0
INSTANCE_001,0.5,V1,5,1.0669523555514149,0.0,0.0
INSTANCE_001,0.5,V1,6,0.9465547524469162,0.0,0.0
INSTANCE_001,0.5,V1,7,0.8811862347754283,0.0,0.0
INSTANCE_001,0.5,V1,8,0.9465547524469162,0.0,0.0
INSTANCE_001,0.5,V1,9,0.9814461698197354,0.0,0.0
INSTANCE_001,0.5,V2,0,1.2002083133375885,0.0,0.0
INSTANCE_001,0.5,V2,1,1.2455437625633596,0.0,0.0
INSTANCE_001,0.5,V2,2,0.9241139826124164,0.0,0.0
INSTANCE_001,0.5,V2,3,0.9248178013348936,0.0,0.0
INSTANCE_001,0.5,V2,4,1.106910609913234,0.0,0.0
