date,trigger,shock,vid,nr_lat,liu_lat,nr_dist,liu_dist,rsi,moved,changed,evals,runtime_ms,otd_num,otd_den,harm
INSTANCE_008,0.25,p85,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,1615.562915802002,18,18,False
INSTANCE_008,0.25,p85,V2,27.250831833333223,0.0,161.27500000000003,174.46759999999998,0.5865800865800865,18,True,401,8644.803524017334,29,29,False
INSTANCE_008,0.25,p95,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,1651.5867710113523,18,18,False
INSTANCE_008,0.25,p95,V2,69.7804691666671,0.0,161.27500000000003,185.439,0.5952380952380952,17,True,401,8650.360584259033,29,29,False
INSTANCE_008,0.25,delay20,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,1441.4045810699463,18,18,False
INSTANCE_008,0.25,delay20,V2,19.064999999999827,0.0,161.27500000000003,174.46759999999998,0.5865800865800865,18,True,401,8318.727254867554,29,29,False
INSTANCE_008,0.25,delay30,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,1451.4153003692627,18,18,False
INSTANCE_008,0.25,delay30,V2,39.06499999999983,1.2200000000000273,161.27500000000003,175.91799999999998,0.6103896103896104,18,True,401,8430.878162384033,28,29,False
INSTANCE_008,0.5,p85,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,550.2524375915527,18,18,False
INSTANCE_008,0.5,p85,V2,18.161861833332978,0.0,161.27500000000003,177.00539999999998,0.4666666666666666,14,True,401,2987.022876739502,29,29,False
INSTANCE_008,0.5,p95,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,597.7742671966553,18,18,False
INSTANCE_008,0.5,p95,V2,52.669419166667126,0.0,161.27500000000003,187.9768,0.4857142857142857,13,True,401,3316.762924194336,29,29,False
INSTANCE_008,0.5,delay20,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,587.0285034179688,18,18,False
INSTANCE_008,0.5,delay20,V2,19.064999999999827,0.0,161.27500000000003,177.00539999999998,0.4666666666666666,14,True,401,3012.6993656158447,29,29,False
INSTANCE_008,0.5,delay30,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,644.500732421875,18,18,False
