date,trigger,shock,vid,nr_lat,liu_lat,nr_dist,liu_dist,rsi,moved,changed,evals,runtime_ms,otd_num,otd_den,harm
INSTANCE_008,0.25,p85,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,1530.951976776123,18,18,False
INSTANCE_008,0.25,p85,V2,27.250831833333223,0.0,161.27500000000003,175.27719999999997,0.6168831168831169,18,True,401,7780.363082885742,29,29,False
INSTANCE_008,0.25,p95,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,1736.4728450775146,18,18,False
INSTANCE_008,0.25,p95,V2,69.7804691666671,0.0,161.27500000000003,185.439,0.5952380952380952,17,True,401,8304.893732070923,29,29,False
INSTANCE_008,0.25,delay20,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,1397.7408409118652,18,18,False
INSTANCE_008,0.25,delay20,V2,19.064999999999827,0.0,161.27500000000003,174.896,0.6103896103896104,18,True,401,8958.812236785889,29,29,False
INSTANCE_008,0.25,delay30,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,1531.4805507659912,18,18,False
INSTANCE_008,0.25,delay30,V2,39.06499999999983,1.1550000000000864,161.27500000000003,175.9774,0.5151515151515151,18,True,401,8446.731328964233,28,29,False
INSTANCE_008,0.5,p85,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,578.942060470581,18,18,False
INSTANCE_008,0.5,p85,V2,18.161861833332978,0.0,161.27500000000003,177.00539999999998,0.4666666666666666,14,True,401,3074.2905139923096,29,29,False
INSTANCE_008,0.5,p95,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,627.8154850006104,18,18,False
INSTANCE_008,0.5,p95,V2,52.669419166667126,0.0,161.27500000000003,187.9768,0.4857142857142857,13,True,401,3217.5498008728027,29,29,False
INSTANCE_008,0.5,delay20,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,530.5092334747314,18,18,False
INSTANCE_008,0.5,delay20,V2,19.064999999999827,0.0,161.27500000000003,177.00539999999998,0.4666666666666666,14,True,401,2986.272096633911,29,29,False
INSTANCE_008,0.5,delay30,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,595.9591865539551,18,18,False
INSTANCE_008,0.5,delay30,V2,39.06499999999983,0.0,161.27500000000003,187.9768,0.4857142857142857,13,True,401,3168.917417526245,29,29,False
INSTANCE_008,0.75,p85,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,139.30702209472656,18,18,False
INSTANCE_008,0.75,p85,V2,8.096759999999904,0.0,161.27500000000003,187.07950000000005,0.75,2,True,401,399.3520736694336,29,29,False
INSTANCE_008,0.75,p95,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,144.8061466217041,18,18,False
INSTANCE_008,0.75,p95,V2,17.233400000000074,5.195524166666701,161.27500000000003,187.40750000000003,0.8214285714285714,3,True,401,411.0424518585205,28,29,False
INSTANCE_008,0.75,delay20,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,137.00222969055176,18,18,False
INSTANCE_008,0.75,delay20,V2,19.064999999999827,6.623333333333335,161.27500000000003,187.40750000000003,0.8214285714285714,3,True,401,420.1197624206543,28,29,False
INSTANCE_008,0.75,delay30,V1,0.0,0.0,155.61949999999996,155.61949999999996,1.0,0,False,401,137.8931999206543,18,18,False
INSTANCE_008,0.75,delay30,V2,39.06499999999983,16.821666666666715,161.27500000000003,187.40750000000003,0.8214285714285714,3,True,401,426.5146255493164,27,29,False
INSTANCE_020,0.25,p85,V1,10.32735666666656,0.0,153.0333,164.8834,0.5192307692307692,12,True,401,1611.4771366119385,17,17,False
INSTANCE_020,0.25,p85,V2,9.370631333333222,0.0,169.02689999999996,181.5824,0.8105263157894737,17,True,401,5534.631013870239,26,26,False
INSTANCE_020,0.25,p85,V3,11.226973000000498,0.0,153.86210000000003,132.4331,0.6416666666666666,6,True,401,2903.537034988404,21,21,False
INSTANCE_020,0.25,p95,V1,23.83999500000016,0.0,153.0333,168.7551,0.5032051282051282,12,True,401,1598.818063735962,17,17,False
INSTANCE_020,0.25,p95,V2,36.614412500000185,0.0,169.02689999999996,181.5824,0.7842105263157895,17,True,401,5694.819688796997,26,26,False
INSTANCE_020,0.25,p95,V3,35.55511166666713,0.0,153.86210000000003,133.7364,0.5333333333333333,9,True,401,2878.570556640625,21,21,False
INSTANCE_020,0.25,delay20,V1,23.30666666666707,0.0,153.0333,168.7551,0.5032051282051282,12,True,401,1633.7213516235352,17,17,False
INSTANCE_020,0.25,delay20,V2,36.719999999999686,5.608333333333235,169.02689999999996,196.5481,0.7289473684210526,19,True,401,5582.3073387146,25,26,False
INSTANCE_020,0.25,delay20,V3,43.663333333333526,0.0,153.86210000000003,136.13070000000002,0.525,15,True,401,2860.4278564453125,21,21,False
INSTANCE_020,0.25,delay30,V1,43.30666666666707,0.0,153.0333,168.75509999999997,0.3782051282051282,12,True,401,1515.8238410949707,17,17,False
INSTANCE_020,0.25,delay30,V2,66.71999999999969,15.608333333333237,169.02689999999996,196.54809999999995,0.7026315789473684,19,True,401,5748.613119125366,25,26,False
INSTANCE_020,0.25,delay30,V3,73.66333333333353,0.0,153.86210000000003,136.13070000000002,0.525,15,True,401,2496.422529220581,21,21,False
INSTANCE_020,0.5,p85,V1,9.502645666666696,0.0,153.0333,152.7286,0.6666666666666667,5,True,401,648.0751037597656,17,17,False
INSTANCE_020,0.5,p85,V2,0.0,0.0,169.02689999999996,169.02689999999996,1.0,0,False,401,1708.8050842285156,26,26,False
INSTANCE_020,0.5,p85,V3,5.784356833333391,0.0,153.86210000000003,145.93859999999998,0.5954545454545455,9,True,401,899.1520404815674,21,21,False
INSTANCE_020,0.5,p95,V1,20.734765000000262,0.0,153.0333,155.53859999999997,0.5555555555555556,5,True,401,654.3498039245605,17,17,False
INSTANCE_020,0.5,p95,V2,0.0,0.0,169.02689999999996,169.02689999999996,1.0,0,False,401,1758.2430839538574,26,26,False
INSTANCE_020,0.5,p95,V3,14.968568333333453,0.2790291666667599,153.86210000000003,147.26659999999998,0.6045454545454545,8,True,401,898.5509872436523,20,21,False
INSTANCE_020,0.5,delay20,V1,23.30666666666707,0.0600000000001728,153.0333,155.53859999999997,0.5555555555555556,5,True,401,715.3403759002686,16,17,False
INSTANCE_020,0.5,delay20,V2,15.824999999999932,15.824999999999932,169.02689999999996,169.02689999999996,1.0,0,False,401,1597.884178161621,25,26,False
INSTANCE_020,0.5,delay20,V3,25.87000000000012,0.0,153.86210000000003,147.2668,0.5363636363636364,9,True,401,969.9532985687256,21,21,False
INSTANCE_020,0.5,delay30,V1,43.30666666666707,1.888333333333435,153.0333,172.4818,0.3611111111111111,7,True,401,720.3669548034668,16,17,False
INSTANCE_020,0.5,delay30,V2,25.82499999999993,25.82499999999993,169.02689999999996,169.02689999999996,1.0,0,False,401,1527.1556377410889,25,26,False
INSTANCE_020,0.5,delay30,V3,45.87000000000012,4.063333333333389,153.86210000000003,147.51909999999998,0.4863636363636364,9,True,401,809.8247051239014,20,21,False
INSTANCE_020,0.75,p85,V1,3.1424453333335123,0.0,153.0333,155.31019999999998,0.525,2,True,401,152.421236038208,17,17,False
INSTANCE_020,0.75,p85,V2,0.0,0.0,169.02689999999996,169.02689999999996,1.0,0,False,401,386.44981384277344,26,26,False
INSTANCE_020,0.75,p85,V3,0.0,0.0,153.86210000000003,145.93859999999998,0.5,5,True,401,278.6843776702881,21,21,False
INSTANCE_020,0.75,p95,V1,6.767746666666881,0.0,153.0333,155.31019999999998,0.525,2,True,401,152.33278274536133,17,17,False
INSTANCE_020,0.75,p95,V2,0.0,0.0,169.02689999999996,169.02689999999996,1.0,0,False,401,318.61042976379395,26,26,False
INSTANCE_020,0.75,p95,V3,0.0,0.0,153.86210000000003,145.93859999999998,0.5,5,True,401,285.95614433288574,21,21,False
INSTANCE_020,0.75,delay20,V1,23.30666666666707,9.561666666666838,153.0333,155.31019999999998,0.525,2,True,401,165.40813446044922,16,17,False
INSTANCE_020,0.75,delay20,V2,0.0,0.0,169.02689999999996,169.02689999999996,1.0,0,False,401,296.5068817138672,26,26,False
INSTANCE_020,0.75,delay20,V3,0.0,0.0,153.86210000000003,145.93859999999998,0.5,5,True,401,267.87686347961426,21,21,False
INSTANCE_020,0.75,delay30,V1,43.30666666666707,19.56166666666684,153.0333,155.31019999999998,0.525,2,True,401,155.79605102539062,16,17,False
INSTANCE_020,0.75,delay30,V2,0.0,0.0,169.02689999999996,169.02689999999996,1.0,0,False,401,297.03402519226074,26,26,False
INSTANCE_020,0.75,delay30,V3,0.0,0.0,153.86210000000003,145.93859999999998,0.5,5,True,401,283.7803363800049,21,21,False
INSTANCE_024,0.25,p85,V1,9.578958333333162,0.0,185.1761,186.12350000000004,0.9404761904761904,5,True,401,6251.648664474487,27,27,False
INSTANCE_024,0.25,p85,V2,3.275801499999716,0.0,163.9959,166.10070000000002,0.7607142857142857,8,True,401,7127.233982086182,27,27,False
INSTANCE_024,0.25,p85,V3,0.0,0.0,169.69729999999996,161.936,0.8607142857142858,4,True,401,6486.621618270874,27,27,False
INSTANCE_024,0.25,p95,V1,27.065625000000068,0.0,185.1761,186.12350000000004,0.9404761904761904,5,True,401,6848.534107208252,27,27,False
