delivery_date,trigger_fraction,shock,seed,nr_lateness,sa_lateness,nr_distance,sa_distance,rsi,moved_stops,n_vehicles,sa_changed_vehicles,sa_harm_vehicles
INSTANCE_030,0.75,delay30,101,0.724999999999909,0.724999999999909,178.6603,178.6603,1.0,0,2,0,0
INSTANCE_037,0.25,p85,101,0.0,0.0,241.81830000000005,241.81830000000005,1.0,0,2,0,0
INSTANCE_037,0.25,p95,101,0.0,0.0,241.81830000000005,241.81830000000005,1.0,0,2,0,0
INSTANCE_037,0.25,delay20,101,23.821666666666943,8.47166666666692,241.81830000000005,247.00190000000003,0.9692982456140352,3,2,1,0
INSTANCE_037,0.25,delay30,101,48.896666666667215,31.68333333333385,241.81830000000005,247.00190000000003,0.9692982456140352,3,2,1,0
INSTANCE_037,0.5,p85,101,0.0,0.0,241.81830000000005,241.81830000000005,1.0,0,2,0,0
INSTANCE_037,0.5,p95,101,0.0,0.0,241.81830000000005,241.81830000000005,1.0,0,2,0,0
INSTANCE_037,0.5,delay20,101,8.47166666666692,8.47166666666692,241.81830000000005,241.81830000000005,1.0,0,2,0,0
INSTANCE_037,0.5,delay30,101,23.546666666667196,10.47166666666692,241.81830000000005,296.0716,0.8928571428571428,13,2,1,0
INSTANCE_037,0.75,p85,101,0.0,0.0,241.81830000000005,241.81830000000005,1.0,0,2,0,0
INSTANCE_037,0.75,p95,101,0.0,0.0,241.81830000000005,241.81830000000005,1.0,0,2,0,0
INSTANCE_037,0.75,delay20,101,0.0,0.0,241.81830000000005,241.81830000000005,1.0,0,2,0,0
INSTANCE_037,0.75,delay30,101,0.0,0.0,241.81830000000005,241.81830000000005,1.0,0,2,0,0
INSTANCE_038,0.25,p85,101,104.83573066666702,104.83573066666702,367.1754,367.1754,1.0,0,2,0,0
INSTANCE_038,0.25,p95,101,239.4885799999988,239.4885799999988,367.1754,367.1754,1.0,0,2,0,0
INSTANCE_038,0.25,delay20,101,106.96833333333392,106.96833333333392,367.1754,367.1754,1.0,0,2,0,0
INSTANCE_038,0.25,delay30,101,169.61166666666736,169.61166666666736,367.1754,367.1754,1.0,0,2,0,0
INSTANCE_038,0.5,p85,101,75.35062350000089,75.35062350000089,367.1754,367.1754,1.0,0,2,0,0
INSTANCE_038,0.5,p95,101,152.93398333333346,152.93398333333346,367.1754,367.1754,1.0,0,2,0,0
