lambda_s,nr_lateness_total,sa_lateness_total,reduction,mean_rsi,mean_moved,mean_dist_premium,harm_count,unnecessary_count,pos_risk_count,n_vehicles,no_harm_rate,unnecessary_rate,runtime_sec,retention_pct
0.0,7680.134591333343,5122.287268166677,2557.8473231666667,0.8211896137655641,3.855555555555556,4.750677603877466,0,25,227,360,100.0,18.79699248120301,26.79439163208008,100.0
5.0,7680.134591333343,5150.509464000011,2529.625127333333,0.8641889883661386,3.3666666666666667,4.835965742232721,0,5,227,360,100.0,3.7593984962406015,25.3952054977417,98.8966426737936
10.0,7680.134591333343,5171.170530000009,2508.964061333334,0.8705623812223744,3.2555555555555555,4.676905716008536,0,1,227,360,100.0,0.7518796992481203,25.58445882797241,98.0888905529821
20.0,7680.134591333343,5175.679154166676,2504.455437166668,0.882481792340057,3.1222222222222222,4.788754759660364,0,0,227,360,100.0,0.0,25.45821261405945,97.91262420096685
40.0,7680.134591333343,5192.928126166676,2487.206465166668,0.8895157938481635,3.058333333333333,4.716338351595332,0,0,227,360,100.0,0.0,24.50426268577576,97.23826917423108
80.0,7680.134591333343,5192.278103833341,2487.856487500002,0.8963816499061634,2.9444444444444446,4.567562585334561,0,0,227,360,100.0,0.0,24.578550815582275,97.26368204103696
120.0,7680.134591333343,5255.294459333343,2424.8401320000003,0.906270454809621,2.8222222222222224,4.4121900374625564,0,0,227,360,100.0,0.0,25.667967796325684,94.80003399882364
