T0,cooling,mean_lateness,mean_rsi,mean_moved,harm_count,unnecessary_count,pos_risk_count,n_vehicles,runtime_sec
111.0,0.95,14.598040164814842,0.906270454809621,2.8222222222222224,0,0,227,360,24.92658829689026
25.0,0.95,14.458451844444472,0.907130542172593,2.8194444444444446,0,0,227,360,26.89716410636902
50.0,0.95,14.52174008472225,0.906782221919204,2.8361111111111112,0,0,227,360,26.731743812561035
75.0,0.95,14.663508262037066,0.9055386795759456,2.772222222222222,0,0,227,360,22.941420078277588
150.0,0.95,14.667611423611142,0.9071750441559728,2.825,0,0,227,360,23.9999577999115
259.0,0.95,15.066005903240764,0.9090226450647418,2.7472222222222222,0,0,227,360,24.506744861602783
521.0,0.95,15.042339122685211,0.9057740078723912,2.7888888888888888,0,0,227,360,23.376673460006717
1209.0,0.95,15.068073036111135,0.9074212895285064,2.7694444444444444,0,0,227,360,24.52734637260437
111.0,0.9,14.646317942592622,0.9056555550035448,2.825,0,0,227,360,24.91725993156433
111.0,0.98,14.634850350000027,0.906414893477344,2.8194444444444446,0,0,227,360,25.021684646606445
