delivery_date,trigger_fraction,shock,seed,method,total_distance_km,total_travel_time_min,total_lateness_min,otd_num,otd_den,overtime_min,rsi,moved_stops,remaining_stops,n_vehicles,n_unchanged_vehicles,n_harm_vehicles,runtime_ms,eval_count,block_fully_unchanged,block_any_harm
INSTANCE_001,0.75,delay20,101,RG,191.8982,259.76,11.81499999999994,39,40,0.0,1.0,0,10,2,2,0,77.78692245483398,200,1,0
INSTANCE_001,0.75,delay20,101,SA,191.8982,259.76,11.81499999999994,39,40,0.0,1.0,0,10,2,2,0,79.26058769226074,200,1,0
INSTANCE_001,0.75,delay30,101,FR,191.8982,259.76,21.81499999999994,39,40,0.0,1.0,0,10,2,2,0,26.587247848510746,200,1,0
INSTANCE_001,0.75,delay30,101,NR,191.8982,259.76,21.81499999999994,39,40,0.0,1.0,0,10,2,2,0,0.0,0,1,0
INSTANCE_001,0.75,delay30,101,RG,191.8982,259.76,21.81499999999994,39,40,0.0,1.0,0,10,2,2,0,71.31075859069824,200,1,0
INSTANCE_001,0.75,delay30,101,SA,191.8982,259.76,21.81499999999994,39,40,0.0,1.0,0,10,2,2,0,71.76518440246582,200,1,0
INSTANCE_001,0.75,p85,101,FR,191.8982,267.69868783333334,0.0,40,40,0.0,0.85,2,10,2,1,0,27.85491943359375,200,0,0
INSTANCE_001,0.75,p85,101,NR,191.8982,267.69868783333334,0.0,40,40,0.0,1.0,0,10,2,2,0,0.0,0,1,0
INSTANCE_001,0.75,p85,101,RG,191.8982,267.69868783333334,0.0,40,40,0.0,1.0,0,10,2,2,0,76.87950134277344,200,1,0
INSTANCE_001,0.75,p85,101,SA,191.8982,267.69868783333334,0.0,40,40,0.0,1.0,0,10,2,2,0,75.24895668029785,200,1,0
INSTANCE_001,0.75,p95,101,FR,191.8982,274.7055091666666,0.0,40,40,0.0,1.0,0,10,2,2,0,27.09531784057617,200,1,0
INSTANCE_001,0.75,p95,101,NR,191.8982,274.7055091666666,0.0,40,40,0.0,1.0,0,10,2,2,0,0.0,0,1,0
INSTANCE_001,0.75,p95,101,RG,191.8982,274.7055091666666,0.0,40,40,0.0,1.0,0,10,2,2,0,74.2027759552002,200,1,0
INSTANCE_001,0.75,p95,101,SA,191.8982,274.7055091666666,0.0,40,40,0.0,1.0,0,10,2,2,0,73.67610931396484,200,1,0
INSTANCE_002,0.25,delay20,101,FR,408.2402,431.35666666666657,22.51500000000021,47,49,0.0,0.6467148262813898,27,37,2,0,0,67.69537925720215,490,0,0
INSTANCE_002,0.25,delay20,101,NR,293.3563,318.32166666666666,78.83000000000004,44,49,0.0,1.0,0,37,2,2,0,0.0,0,1,0
INSTANCE_002,0.25,delay20,101,RG,338.98130000000003,359.6816666666666,22.51500000000021,47,49,0.0,0.6081871345029239,25,37,2,0,0,120.43237686157228,320,0,0
INSTANCE_002,0.25,delay20,101,SA,337.3029,358.315,22.785000000000192,47,49,0.0,0.7152132782937737,25,37,2,0,0,187.07656860351565,490,0,0
INSTANCE_002,0.25,delay30,101,FR,329.6441,352.5183333333334,91.44166666666648,43,49,0.0,0.700765393876849,26,37,2,0,0,66.8497085571289,440,0,0
INSTANCE_002,0.25,delay30,101,NR,293.3563,318.32166666666666,142.3283333333335,41,49,0.0,1.0,0,37,2,2,0,0.0,0,1,0
INSTANCE_002,0.25,delay30,101,RG,338.98130000000003,359.6816666666666,48.08666666666704,46,49,0.0,0.6081871345029239,25,37,2,0,0,130.40685653686523,320,0,0
INSTANCE_002,0.25,delay30,101,SA,337.1537,357.44666666666666,48.08666666666704,46,49,0.0,0.6719126246990024,24,37,2,0,0,180.1795959472656,450,0,0
INSTANCE_002,0.25,p85,101,FR,329.6057,404.31725433333327,19.57685783333318,46,49,0.0,0.9068627450980392,13,37,2,1,0,35.993337631225586,220,0,0
INSTANCE_002,0.25,p85,101,NR,293.3563,357.8693393333333,26.874306666666712,45,49,0.0,1.0,0,37,2,2,0,0.0,0,1,0
INSTANCE_002,0.25,p85,101,RG,336.8562,404.40587333333326,1.0620348333334275,48,49,0.0,0.5673374613003096,26,37,2,0,0,134.50050354003906,320,0,0
INSTANCE_002,0.25,p85,101,SA,352.4922,409.15276933333337,1.9904228333334684,47,49,0.0,0.820906432748538,26,37,2,0,0,155.75218200683594,380,0,0
INSTANCE_002,0.25,p95,101,FR,335.9609,459.5970000000001,54.68180583333344,44,49,0.0,0.7532679738562091,12,37,2,1,0,42.93942451477051,280,0,0
INSTANCE_002,0.25,p95,101,NR,293.3563,392.77479000000005,69.18651333333355,43,49,0.0,1.0,0,37,2,2,0,0.0,0,1,0
INSTANCE_002,0.25,p95,101,RG,336.8562,444.8511,6.235465833333365,47,49,0.0,0.5673374613003096,26,37,2,0,0,120.34916877746582,320,0,0
INSTANCE_002,0.25,p95,101,SA,352.4922,450.1630733333334,16.85207749999995,46,49,0.0,0.820906432748538,26,37,2,0,0,145.14636993408203,380,0,0
INSTANCE_002,0.5,delay20,101,FR,315.4728,337.095,26.55999999999983,47,49,0.0,0.7651515151515151,8,25,2,1,0,49.529075622558594,370,0,0
INSTANCE_002,0.5,delay20,101,NR,293.3563,318.32166666666666,45.691666666666606,46,49,0.0,1.0,0,25,2,2,0,0.0,0,1,0
INSTANCE_002,0.5,delay20,101,RG,314.9081,335.33333333333326,26.55999999999983,47,49,0.0,0.8977272727272727,4,25,2,1,0,73.63414764404297,200,0,0
INSTANCE_002,0.5,delay20,101,SA,314.9081,335.33333333333326,26.55999999999983,47,49,0.0,0.8977272727272727,4,25,2,1,0,71.95544242858887,200,0,0
INSTANCE_002,0.5,delay30,101,FR,316.7412,337.99,55.49333333333334,45,49,0.0,0.7840909090909091,9,25,2,1,0,38.75303268432617,290,0,0
INSTANCE_002,0.5,delay30,101,NR,293.3563,318.32166666666666,81.20333333333338,44,49,0.0,1.0,0,25,2,2,0,0.0,0,1,0
INSTANCE_002,0.5,delay30,101,RG,314.9081,335.33333333333326,55.49333333333334,45,49,0.0,0.8977272727272727,4,25,2,1,0,75.36673545837402,200,0,0
INSTANCE_002,0.5,delay30,101,SA,314.9081,335.33333333333326,55.49333333333334,45,49,0.0,0.8977272727272727,4,25,2,1,0,73.43053817749023,200,0,0
INSTANCE_002,0.5,p85,101,FR,298.2104,345.334831,4.660791166666627,48,49,0.0,0.7954545454545454,8,25,2,1,0,75.1333236694336,480,0,0
INSTANCE_002,0.5,p85,101,NR,293.3563,340.3162985,5.891391500000168,47,49,0.0,1.0,0,25,2,2,0,0.0,0,1,0
INSTANCE_002,0.5,p85,101,RG,298.11400000000003,344.822382,4.660791166666627,48,49,0.0,0.7727272727272727,7,25,2,1,0,117.74373054504396,300,0,0
INSTANCE_002,0.5,p85,101,SA,293.3563,340.3162985,5.891391500000168,47,49,0.0,1.0,0,25,2,2,0,76.6899585723877,200,1,0
INSTANCE_002,0.5,p95,101,FR,313.7071,380.0413975000001,8.956892499999867,48,49,0.0,0.8446969696969697,4,25,2,1,0,36.77511215209961,280,0,0
INSTANCE_002,0.5,p95,101,NR,293.3563,359.72913583333343,12.040047500000014,47,49,0.0,1.0,0,25,2,2,0,0.0,0,1,0
INSTANCE_002,0.5,p95,101,RG,297.9326,364.4051383333334,8.956892499999867,48,49,0.0,0.9242424242424244,3,25,2,1,0,82.38387107849121,230,0,0
INSTANCE_002,0.5,p95,101,SA,293.3563,359.72913583333343,12.040047500000014,47,49,0.0,1.0,0,25,2,2,0,70.27626037597656,200,1,0
INSTANCE_002,0.75,delay20,101,FR,293.35620000000006,318.32166666666666,0.0,49,49,0.0,0.8166666666666667,2,13,2,1,0,28.37395668029785,200,0,0
INSTANCE_002,0.75,delay20,101,NR,293.3563,318.32166666666666,0.0,49,49,0.0,1.0,0,13,2,2,0,0.0,0,1,0
INSTANCE_002,0.75,delay20,101,RG,293.35620000000006,318.32166666666666,0.0,49,49,0.0,0.8166666666666667,2,13,2,1,0,99.0760326385498,240,0,0
INSTANCE_002,0.75,delay20,101,SA,293.3563,318.32166666666666,0.0,49,49,0.0,1.0,0,13,2,2,0,72.80397415161133,200,1,0
INSTANCE_002,0.75,delay30,101,FR,293.35620000000006,318.32166666666666,0.0,49,49,0.0,0.8166666666666667,2,13,2,1,0,25.952577590942383,200,0,0
INSTANCE_002,0.75,delay30,101,NR,293.3563,318.32166666666666,0.0,49,49,0.0,1.0,0,13,2,2,0,0.0,0,1,0
INSTANCE_002,0.75,delay30,101,RG,293.35620000000006,318.32166666666666,0.0,49,49,0.0,0.8166666666666667,2,13,2,1,0,83.46796035766602,240,0,0
INSTANCE_002,0.75,delay30,101,SA,293.3563,318.32166666666666,0.0,49,49,0.0,1.0,0,13,2,2,0,72.53432273864746,200,1,0
INSTANCE_002,0.75,p85,101,FR,293.35620000000006,327.2409655,0.0,49,49,0.0,0.8166666666666667,2,13,2,1,0,29.697895050048828,200,0,0
INSTANCE_002,0.75,p85,101,NR,293.3563,327.2409655,0.0,49,49,0.0,1.0,0,13,2,2,0,0.0,0,1,0
INSTANCE_002,0.75,p85,101,RG,293.35620000000006,327.2409655,0.0,49,49,0.0,0.8166666666666667,2,13,2,1,0,95.61634063720705,240,0,0
INSTANCE_002,0.75,p85,101,SA,293.3563,327.2409655,0.0,49,49,0.0,1.0,0,13,2,2,0,80.53922653198242,200,1,0
INSTANCE_002,0.75,p95,101,FR,293.35620000000006,335.1132908333334,0.0,49,49,0.0,0.8166666666666667,2,13,2,1,0,29.097318649291992,200,0,0
INSTANCE_002,0.75,p95,101,NR,293.3563,335.1132908333334,0.0,49,49,0.0,1.0,0,13,2,2,0,0.0,0,1,0
INSTANCE_002,0.75,p95,101,RG,293.35620000000006,335.1132908333334,0.0,49,49,0.0,0.8166666666666667,2,13,2,1,0,91.65310859680176,240,0,0
INSTANCE_002,0.75,p95,101,SA,293.3563,335.1132908333334,0.0,49,49,0.0,1.0,0,13,2,2,0,79.76412773132324,200,1,0
INSTANCE_003,0.25,delay20,101,FR,406.7374,468.045,2.035000000000082,71,72,0.0,0.9087301587301588,8,56,3,2,0,50.171613693237305,320,0,0
INSTANCE_003,0.25,delay20,101,NR,408.291,474.3533333333333,2.035000000000082,71,72,0.0,1.0,0,56,3,3,0,0.0,0,1,0
INSTANCE_003,0.25,delay20,101,RG,404.3632,470.32333333333327,0.0,72,72,0.0,0.8678571428571429,13,56,3,2,0,151.7038345336914,360,0,0
INSTANCE_003,0.25,delay20,101,SA,408.291,474.3533333333333,2.035000000000082,71,72,0.0,1.0,0,56,3,3,0,118.22175979614258,300,1,0
INSTANCE_003,0.25,delay30,101,FR,407.7075,470.115,12.035000000000082,71,72,0.0,0.9626984126984128,2,56,3,2,0,51.21302604675293,310,0,0
INSTANCE_003,0.25,delay30,101,NR,408.291,474.3533333333333,15.801666666666732,70,72,0.0,1.0,0,56,3,3,0,0.0,0,1,0
INSTANCE_003,0.25,delay30,101,RG,431.7604999999999,495.555,6.651666666666756,71,72,0.0,0.8396825396825397,18,56,3,2,0,177.65116691589355,420,0,0
