method,level,n,no_harm_pct,unchanged_pct
FR,block,1836,99.50980392156863,24.128540305010894
RG,block,1836,99.56427015250546,25.70806100217865
SA,block,1836,100.0,42.265795206971674
Liu-ALNS,block,1836,99.61873638344227,17.10239651416122
