method,mean_ms,median_ms,p95_ms,max_ms
FR,44.30128780065798,44.48282718658447,81.18820190429688,129.88615036010742
RG,118.69448215613438,119.03131008148193,215.798020362854,362.24365234375
SA,105.63665420661046,108.86037349700928,185.5719089508057,318.68672370910645
Liu-ALNS,4608.285368527722,2116.8723106384277,19873.198151588444,30985.35966873169
