a,b,mean_diff,median_diff,n_nonzero,wilcoxon_stat,p_raw,r_signed,p_holm
SA,NR,-13.180504179375486,-12.86333970833337,48,0.0,1.6310100430962223e-09,-1.0,1.1417070301673557e-08
SA,FR,1.88709886973492,0.7981944444444413,47,251.0,0.0009256015852284,0.5549645390070922,0.0018512031704569
SA,RG,1.31193264306464,0.909206777777797,47,70.0,1.7173715163593806e-07,0.875886524822695,5.152114549078141e-07
FR,RG,-0.5751662266702792,0.0,47,561.0,0.9746742309669216,-0.0053191489361702,0.9746742309669216
SA,Liu-ALNS,9.065520475127126,6.029705027777922,48,0.0,1.6310100430962223e-09,1.0,1.1417070301673557e-08
Liu-ALNS,FR,-7.178421605392208,-4.576976402777717,48,17.0,4.727598213758193e-09,-0.9710884353741496,2.0106628729403864e-08
Liu-ALNS,RG,-7.753587832062486,-5.461523236111096,46,2.0,4.0213257458807734e-09,-0.996299722479186,2.0106628729403864e-08
